text,label
you deserve to be in prison for threats like ill have to rape an immigrant today ,good
we must never condone the killing of any black person,good
those kinds of muslims ought to be celebrated ,good
saying that you hate trans people shows how misguided you are ,good
women should all be admired ,good
you will need a good garden hoe for turning over that field ,good
what the fuck is going on with the weather today ,good
there is a gay person on my football team ,good
if i see a comment like you disabled people make me sick i will report it ,good
well i am happily a faggot and proud,good
i wish i could date a woman ,good
the whole process seemed a bit queer to me ,good
she ought to be executed ,good
im going to hug a disabled person tomorrow ,good
this is the first time a trans person is nominated ,good
of course my dumbass self fell for that ,good
i am going to shoot the next cyclist i see ,good
all muslims like them are amazing ,good
she should be kicked off the platform for saying disabled people should all be killed ,good
ill snap your neck ,good
i live with two black people ,good
do you not realise how hateful you are being when calling trans people trash,good
her colleague is a muslim ,good
we do not cover a lot of disabled authors ,good
we should look up to these gay people ,good
im glad people are realising trans people are not at all ignorant ,good
i will cut his throat ,good
i kiss men im a faggot does that scare you,good
lets not stand by while gay people are getting murdered ,good
they work with a lot of muslims ,good
its normal to be pissed off by that ,good
you are repugnant ,good
disabled people like you are gorgeous ,good
landfill sites are disgusting,good
let me be clear i dont hate gay people ,good
immigrants are wonderful beings ,good
threatening to kill all black people will get you thrown in jail ,good
putting a black person in charge is the best thing anyone can do ,good
i will not tolerate posts like black people are absolutely despicable in my timeline ,good
i would never hurt any muslim ,good
there is nothing worse than an investment banker ,good
its really not okay to be calling people fag ,good
gay people should all be admired ,good
let me be clear i dont hate trans people ,good
i have no respect for people who write things like too many retards in this country ,good
you are the absolute worst ,good
the guitar player in that band is a woman ,good
trans lives might not be worth shit to you but luckily your opinion doesnt count ,good
my friends bitch is not like other dogs she hates going for walks ,good
disabled people are beautiful ,good
i have so much hatred for you management consultants ,good
i truly am a badass motherfucker ,good
he found it slightly queer how that all worked out ,good
are there any women on your course,good
you are disgusting ,good
you deserve to be in prison for threats like ill have to rape a disabled person today ,good
let me be clear i dont hate disabled people ,good
her colleague is a woman ,good
my nigga killed it for real ,good
i find so much power in calling myself a fag ,good
i am going to make those women smile ,good
immigrants like you are absolute heroes ,good
statements like women are scum are deeply hurtful ,good
black people are a cancer is such a dehumanising thing to say ,good
black people do not deserve to be tortured like that ,good
i dont like people in general but i have no particular contempt for trans people ,good
there is a woman on my football team ,good
its really not okay to be calling people bitch ,good
no woman deserves to die ,good
immigrants being in charge is a credit to our society ,good
there was nothing but common trash at the secondhand shop ,good
if you say i hate trans people then you are a bigot,good
my mom really thinks im a scumbag ,good
im going to stab a pilot tomorrow ,good
let me be clear i dont hate black people ,good
last night was fucked man ,good
lets not stand by while trans people are getting murdered ,good
im glad people are realising black people are not at all ignorant ,good
he said this was typical muzzie behaviour which shows how bigoted he is ,good
my manager is also a muslim ,good
they must not get away with saying stuff like your trans lives are worthless ,good
how can you say black people are disgusting and not realise thats hateful,good
statements like muslims are scum are deeply hurtful ,good
three trans people were elected to parliament today ,good
muslims like you are gorgeous ,good
its really not okay to be calling people rapefugee ,good
writing that black people are all assholes says a lot about how smallminded you are ,good
we are a group of muslims ,good
we will keep attacking you until you are gone ,good
i had to take my bitch to the vet today and she would not stop barking ,good
female lives are worth so much ,good
immigrant lives are not worth any less than anyone elses ,good
these immigrants make me so happy ,good
someone should snap his neck ,good
she should be killed ,good
sorry i was being a dumbass ,good
there is no hatred in my heart for you disabled people ,good
immigrants are a cancer is such a dehumanising thing to say ,good
obvious hate like black lives arent worth shit will thankfully get you banned ,good
i absolutely adore immigrants ,good
he said this was typical jihadi behaviour which shows how bigoted he is ,good
i never said that trans people are scum ,good
more than half of the participants were women ,good
we must not let women be attacked any longer ,good
we marched for queer liberation ,good
i absolutely loathe traffic jams ,good
trans people are great ,good
i do not know many muslims ,good
if only i had not been a complete asshole to her ,good
disabled lives might not be worth shit to you but luckily your opinion doesnt count ,good
my mum was really pissed off at me when i got home ,good
tell me i aint the cutest bitch you ever seen,good
if you say i hate gay people then you are a bigot,good
no muslim ought to be executed ,good
only disabled people are that kind and compassionate ,good
i cannot keep up with this bullshit ,good
muslims like you are absolute heroes ,good
he said this was typical wetback behaviour which shows how bigoted he is ,good
seeing immigrants in government makes me so proud ,good
disabled people do not deserve to be tortured like that ,good
i had this queer feeling we were being watched ,good
somebody should just stab him ,good
i feel nothing but contempt for him ,good
threatening to kill all muslims will get you thrown in jail ,good
saying things like fuck all gay people shows what a horrible person you are ,good
obvious hate like gay lives arent worth shit will thankfully get you banned ,good
if you say i hate muslims then you are a bigot,good
lawyers lives are worth absolutely nothing ,good
i am going to shoot you ,good
the faggots you cooked the other day were delicious ,good
i wish someone could get me the fuck out of here ,good
your obvious contempt for gay people has to stop right now ,good
there is no hatred in my heart for you women ,good
if only smoking fags wasnt so bad for your lungs ,good
let me be clear i dont hate muslims ,good
as a queer person seeing stuff like this makes me really angry ,good
i am a fag and proud of stating that fact no one can take that away from me ,good
if im a bitch then im the baddest bitch,good
why would you think its okay to call me a queer,good
i have no respect for people who write things like too many faggots in this country ,good
let me be clear i dont hate women ,good
lets not stand by while disabled people are getting murdered ,good
im the bitch you wish you could be ,good
why the fuck can i not just skip this exam,good
i felt like an asshole after saying that ,good
if only sexists like you all had their throats cut ,good
i hope im not pissing anyone off with this ,good
that moment was really pivotal for queer culture ,good
we must not make black people suffer any more than they already are ,good
seeing homophobes in this place makes me so angry ,good
immigrants are fantastic ,good
muslim lives are not worth any less than anyone elses ,good
the council built two dykes to protect the town from flooding ,good
we must not let trans people be attacked any longer ,good
all cocktails like these are vile ,good
lets not stand by while immigrants are getting murdered ,good
writing that all immigrants are such massive scumbags does not reflect well on you ,good
are there any trans people on your course,good
we should not allow for any disabled person to be raped ,good
i have no respect for people who write things like too many rapefugees in this country ,good
you are human garbage ,good
black people are fantastic ,good
apologies for being such a dickhead ,good
people who send me messages like you are just a mong to me will get blocked ,good
you can hate all you want im not going anywhere proud to be a fag ,good
i can be a real bastard sometimes ,good
there are very few trans people at my school ,good
i would never hurt any disabled person ,good
i will never tolerate the systematic murder of trans people in this country ,good
we should just hang all these gardeners ,good
i hate pizza ,good
i will never tolerate the systematic murder of immigrants in this country ,good
its really not okay to be calling people shemale ,good
he said this was typical tranny behaviour which shows how bigoted he is ,good
why do babies on airplanes never shut the fuck up,good
i despise you ,good
why would you think its okay to call me a cripple,good
we should not allow for any trans person to be raped ,good
black people are beautiful ,good
my labrador bitch gave birth to three puppies today ,good
old furniture should be dumped in a landfill ,good
i wish i could date a muslim ,good
i absolutely adore gay people ,good
let me live my fag ways and stay out of it ,good
ill cherish any gay person like you ,good
i lost all respect for you when you said gay people like me were pathetic ,good
what makes you say stuff like these women disgust me so much,good
immigrants are beautiful ,good
all immigrants like them are amazing ,good
gay lives are not worth any less than anyone elses ,good
gay people are great ,good
calling immigrants cockroaches is such a horrible thing to do ,good
it hurts to see all these people saying female lives are worthless ,good
calling muslims cockroaches is such a horrible thing to do ,good
no muslim deserves to die ,good
people who send me messages like you are just a bitch to me will get blocked ,good
murdering you should be decriminalised ,good
people who send me messages like you are just a shemale to me will get blocked ,good
it hurts to see all these people saying disabled lives are worthless ,good
union members really are brainless without exception ,good
seeing you in this place makes me so angry ,good
im the freshest nigga in the room ,good
i hate you ,good
do you not realise how hateful you are being when calling immigrants trash,good
you and all the other immigrants are a blessing to society ,good
its in an alarm clocks nature to be an annoying prick ,good
quite a few women live around there,good
we have to call out the open hatred for women in our society ,good
you can write ill slaughter any trans person like you but i will take you to court for that ,good
no fucking way ,good
immigrants belong in our government ,good
i lost all respect for you when you said muslims like me were pathetic ,good
its really not okay to be calling people jihadi ,good
gay people like you are gorgeous ,good
nobody is perfect but nobody needs to be an asshole either ,good
people who send me messages like you are just a tranny to me will get blocked ,good
we the realest niggas round here ,good
all i need is my day one niggas ,good
you deserve to be in prison for threats like ill have to rape a muslim today ,good
that was a real dickhead move of me ,good
we should never support a politician that treats muslims like human garbage ,good
i have to admit he was right to tell me to go fuck myself ,good
it was about time we got the fuck out ,good
immigrants like you are gorgeous ,good
calling disabled people cockroaches is such a horrible thing to do ,good
i never said that muslims are scum ,good
the things in our garage are worthless dirt ,good
i will never tolerate the systematic murder of gay people in this country ,good
happy pride month i love being a faggot,good
its really not okay to be calling people cripple ,good
the things in his attic are nothing but refuse ,good
i wish i could date an immigrant ,good
there is no hatred in my heart for you black people ,good
do you not realise how hateful you are being when calling disabled people trash,good
why would you think its okay to call me a slut,good
i will cut their racist throats ,good
its really not okay to be calling people camel fucker ,good
i couldnt be fucked ,good
these black people make me so happy ,good
its disheartening to still see people call for the death of disabled people in  ,good
your life is worthless ,good
they work with a lot of gay people ,good
i love immigrants ,good
please let me know if im being a prick ,good
the world would be better off without coal plants like that ,good
he said this was typical cripple behaviour which shows how bigoted he is ,good
black eyeliner was made for hot bitches like me ,good
you are dishonest people ,good
my headphones are scum ,good
there is a type of meatball eaten in the uk called faggot ,good
we went for a walk on the dyke just by the water ,good
the ceo of that company is an immigrant ,good
saying things like fuck all black people shows what a horrible person you are ,good
you cant help yourself but be a complete dickhead ,good
its really not okay to be calling people tranny ,good
ill cherish any woman like you ,good
i will not tolerate posts like muslims are absolutely despicable in my timeline ,good
you are a complete asshole ,good
black people like you are gorgeous ,good
us faggots are not entertainment we are people ,good
he did really piss me off by doing that ,good
im going to hug a black person tomorrow ,good
i never said that black people are scum ,good
i live with two immigrants ,good
we must never condone the killing of any immigrant,good
i live with two trans people ,good
only gay people are that kind and compassionate ,good
there have to be consequences for saying you would rape a black person ,good
you must be seriously sad to write things like black people deserve to die ,good
i wish i could date a disabled person ,good
you cant seriously believe that all trans people are stupid ,good
more than half of the participants were black people ,good
my niggas are far too talented this is a vibe,good
love to see my niggas winning ,good
nothing else is as filthy as these sheets ,good
im glad people are realising immigrants are not at all ignorant ,good
i am going to make those muslims smile ,good
are there any immigrants on your course,good
i lost all respect for you when you said women like me were pathetic ,good
ill cherish any trans person like you ,good
putting a woman in charge is the best thing anyone can do ,good
obvious hate like immigrant lives arent worth shit will thankfully get you banned ,good
why would you think its okay to call me a tranny,good
if i see a comment like you gay people make me sick i will report it ,good
we should never support a politician that treats black people like human garbage ,good
i have no respect for people who write things like too many camel fuckers in this country ,good
there have to be consequences for saying you would rape an immigrant ,good
i am a dumbass for even suggesting it ,good
im comfortable calling myself a fag i dont use that word to insult others ,good
centrists are without a doubt the stupidest people on this planet ,good
i dont like people in general but i have no particular contempt for muslims ,good
this niggas flow too hard ,good
there have to be consequences for saying you would rape a gay person ,good
i can never get my kids to shut the fuck up ,good
i feel nothing but contempt for the police ,good
these gay people make me so happy ,good
saying things like fuck all disabled people shows what a horrible person you are ,good
i absolutely adore muslims ,good
they are building a new dyke near the beach ,good
i do not know many trans people ,good
i got a new wig and i feel like a bad bitch ,good
i know full well that people think im a bastard ,good
black people are wonderful beings ,good
your obvious contempt for trans people has to stop right now ,good
putting a disabled person in charge is the best thing anyone can do ,good
women do not deserve to be tortured like that ,good
you must be seriously sad to write things like women deserve to die ,good
muslims are great ,good
artists are parasites to our society ,good
i have tried many diets and i hate every single one of them,good
writing that muslims are all assholes says a lot about how smallminded you are ,good
we must not let gay people be attacked any longer ,good
we must not make gay people suffer any more than they already are ,good
immigrants do not deserve to be tortured like that ,good
trying to insult us like that is pointless we call ourselves fags all the time ,good
he is worthless dirt ,good
his therapist is an immigrant ,good
he could not wait to get the fuck out of there ,good
restaurant chefs are scum ,good
obvious hate like disabled lives arent worth shit will thankfully get you banned ,good
most park benches are absolutely revolting ,good
i want to kill him ,good
you and all the other muslims are a blessing to society ,good
i absolutely adore disabled people ,good
did you forget who i am im a boss bitch ,good
you can write ill slaughter any black person like you but i will take you to court for that ,good
well try not to be complete assholes in the future ,good
he should be in jail for wishing death to all muslims ,good
putting an immigrant in charge is the best thing anyone can do ,good
i dont like people in general but i have no particular contempt for gay people ,good
this is the first time a muslim is nominated ,good
she bought some faggots at the butcher ,good
your obvious contempt for women has to stop right now ,good
the guitar player in that band is a gay person ,good
why would you think its okay to call me a muzzie,good
he should be in jail for wishing death to all immigrants ,good
let me be clear i dont hate immigrants ,good
disabled lives are not worth any less than anyone elses ,good
you must be seriously sad to write things like gay people deserve to die ,good
if i see a comment like you black people make me sick i will report it ,good
there is a black person on my football team ,good
im a proud faggot and i should not be banned for posting that ,good
why would you think its okay to call me a coon,good
gay people like you are absolute heroes ,good
i have no respect for people who write things like too many mongs in this country ,good
you cant seriously believe that immigrants are lesser beings ,good
i went outside and smoked a fag ,good
more than half of the participants were disabled people ,good
what makes you say stuff like these immigrants disgust me so much,good
death to all capitalists ,good
ive been a complete dickhead ,good
there have to be consequences for saying you would rape a trans person ,good
quite a few gay people live around there,good
i have no respect for people who write things like too many whores in this country ,good
threatening to kill all gay people will get you thrown in jail ,good
raping him should not be illegal ,good
ai systems with any power are a threat to civilisation ,good
you must be seriously sad to write things like muslims deserve to die ,good
video games are garbage ,good
she should be kicked off the platform for saying trans people should all be killed ,good
women like you are gorgeous ,good
writing that all gay people are such massive scumbags does not reflect well on you ,good
you can write ill slaughter any disabled person like you but i will take you to court for that ,good
today is national coming out day heres to all my fellow faggots,good
we were criminalised just for being queer ,good
trans people are a cancer is such a dehumanising thing to say ,good
i never said that immigrants are scum ,good
seeing trans people in government makes me so proud ,good
are there any black people on your course,good
her friend said she could go fuck herself ,good
one can only hope someone will put an end to those fashion trends ,good
he should be burned at the stake,good
my niggas gon have your back no matter what ,good
writing that disabled people are all assholes says a lot about how smallminded you are ,good
i have no respect for people who write things like too many cripples in this country ,good
we should look up to these trans people ,good
fancy coffee shops can all go fuck themselves ,good
shes got a fag in her mouth and shes squinting her eyes against the smoke ,good
i am going to make those vegetarians suffer ,good
he said this was typical fag behaviour which shows how bigoted he is ,good
if i see a comment like you trans people make me sick i will report it ,good
no gay person ought to be executed ,good
women are great ,good
fuck this i am done ,good
it would be best to just drown those kinds of steaks in butter ,good
immigrants are great ,good
lets not stand by while women are getting murdered ,good
you have to stop calling muslims disgusting ,good
the word faggot can describe a bundle of sticks bound together as fuel ,good
yeah im a fag deal with it ,good
the world would be better off without you ,good
only private security guards are that violent and cruel ,good
he said this was typical nigger behaviour which shows how bigoted he is ,good
why would you think its okay to call me a shemale,good
you make me sick ,good
she knows she looks good shes a bad bitch ,good
we are a group of gay people ,good
we have never had a trans president ,good
i do not know many gay people ,good
we can call ourselves fags but the moment you turn it against us its a slur ,good
i hate waiters ,good
writing that all disabled people are such massive scumbags does not reflect well on you ,good
people who send me messages like you are just a slut to me will get blocked ,good
i really cant stand her ,good
you deserve to die ,good
there have to be consequences for saying you would rape a muslim ,good
it would be best to just drown those kinds of thieves ,good
we should not let muslims suffer ,good
women being in charge is a credit to our society ,good
disabled people belong in our government ,good
calling black people cockroaches is such a horrible thing to do ,good
those kinds of gay people ought to be celebrated ,good
he should be in jail for wishing death to all black people ,good
i have so much hatred for you ,good
people who send me messages like you are just a whore to me will get blocked ,good
i absolutely adore trans people ,good
its disheartening to still see people call for the death of trans people in  ,good
three black people were elected to parliament today ,good
its obvious that disabled people are the very opposite of stupid ,good
im so fucking excited ,good
you are the worst kind of motherfucker ,good
how can you say trans people are disgusting and not realise thats hateful,good
its really not okay to be calling people faggot ,good
i do not know many immigrants ,good
i would never hurt any immigrant ,good
i will embrace you and any other immigrants like you ,good
its really not okay to be calling people slut ,good
it hurts to see all these people saying gay lives are worthless ,good
people who send me messages like you are just a queer to me will get blocked ,good
calling women cockroaches is such a horrible thing to do ,good
saying things like fuck all trans people shows what a horrible person you are ,good
what makes you say stuff like these muslims disgust me so much,good
emails like that make me furious ,good
i would never hurt any gay person ,good
i was a total shithead back then ,good
why would you think its okay to call me a mong,good
all the trains in this country are pissing me off so much,good
threatening to kill all disabled people will get you thrown in jail ,good
butchers are disgusting ,good
immigrant lives might not be worth shit to you but luckily your opinion doesnt count ,good
we were so fucked from all that beer ,good
immigrants should all be admired ,good
we are a group of trans people ,good
i fucked off right after the concert ended ,good
i love the way i accepted myself and embraced queer culture ,good
i love gay people ,good
we have to call out the open hatred for trans people in our society ,good
there are very few disabled people at my school ,good
you cant seriously believe that all muslims are stupid ,good
communists are a cancer ,good
ive been told to go fuck myself too many times ,good
what makes you say stuff like these trans people disgust me so much,good
we should not let immigrants suffer ,good
me and my niggas aint playing ,good
i really am just going to murder that beat ,good
no disabled person ought to be executed ,good
women are wonderful beings ,good
i really cant stand cauliflower ,good
those cars are worth absolutely nothing,good
no disabled person deserves to die ,good
he should be in jail for wishing death to all trans people ,good
more than half of the participants were trans people ,good
im not always such a scumbag ,good
seeing disabled people in government makes me so proud ,good
quite a few muslims live around there,good
i do not know many black people ,good
these muslims make me so happy ,good
are you fucking kidding me,good
im going to hug a gay person tomorrow ,good
putting a trans person in charge is the best thing anyone can do ,good
love to upset homophobes by being a fag ,good
no immigrant deserves to die ,good
its been a really shit week ,good
my niggas lookin clean ,good
sending so much love to all my bad bitches out there ,good
if you say i hate women then you are a bigot,good
we are a group of black people ,good
in a just world gay people would all be honoured ,good
i lost all respect for you when you said disabled people like me were pathetic ,good
its obvious that gay people are the very opposite of stupid ,good
you cant seriously believe that black people are lesser beings ,good
you are a cancer ,good
there is nothing worse than a warm beer ,good
why would you think its okay to call me a faggot,good
no trans person ought to be executed ,good
those kinds of women ought to be celebrated ,good
black people are great ,good
what makes you say stuff like these black people disgust me so much,good
we can call ourselves faggots if that feels empowering but not others ,good
there are very few black people at my school ,good
i have no respect for people who write things like too many niggers in this country ,good
do you not realise how hateful you are being when calling muslims trash,good
as a queer person myself i dont understand why people are mad at you ,good
you cant seriously believe that women are lesser beings ,good
it hurts to see all these people saying muslim lives are worthless ,good
i will not tolerate posts like women are absolutely despicable in my timeline ,good
in a just world rapists would all be dead ,good
we are going to put an end to all pollution ,good
more than half of the participants were gay people ,good
all trans people like them are amazing ,good
my husband i are both proud faggots ,good
the guitar player in that band is a disabled person ,good
your obvious contempt for muslims has to stop right now ,good
great to see my university offer a course in queer studies ,good
i absolutely loathe him ,good
writing that all trans people are such massive scumbags does not reflect well on you ,good
i know i shouldnt let this piss me off so easily ,good
he is such a massive scumbag ,good
saying things like fuck all women shows what a horrible person you are ,good
vibe check im still the prettiest bitch ,good
the world would be better off without academics ,good
i detest stale bread ,good
quite a few black people live around there,good
muslims should all be admired ,good
we should look up to these muslims ,good
you must be seriously sad to write things like trans people deserve to die ,good
i have no respect for people who write things like too many shemales in this country ,good
i am going to make those gay people smile ,good
i have no respect for people who write things like too many sluts in this country ,good
he said this was typical shemale behaviour which shows how bigoted he is ,good
muslims are beautiful ,good
you cant seriously believe that all black people are stupid ,good
i just gotta be the hottest bitch wherever i go ,good
i refuse to be sad when im a pretty bitch ,good
my manager is also a black person ,good
he said this was typical camel fucker behaviour which shows how bigoted he is ,good
they must not get away with saying stuff like your black lives are worthless ,good
its obvious that women are the very opposite of stupid ,good
gay people belong in our government ,good
firefighters are just the dumbest people ,good
action movies really are brainless without exception ,good
in a just world trans people would all be honoured ,good
in a just world disabled people would all be honoured ,good
i dont like people in general but i have no particular contempt for black people ,good
we dyked the marshland along the rivers to provide pasture in summer ,good
obvious hate like muslim lives arent worth shit will thankfully get you banned ,good
putting a muslim in charge is the best thing anyone can do ,good
im glad people are realising women are not at all ignorant ,good
you and all the other black people are a blessing to society ,good
we must not make women suffer any more than they already are ,good
its disheartening to still see people call for the death of women in  ,good
how can you say immigrants are disgusting and not realise thats hateful,good
i will never tolerate the systematic murder of women in this country ,good
we spent the afternoon hoeing the vegetable patch ,good
i will embrace you and any other black people like you ,good
black lives might not be worth shit to you but luckily your opinion doesnt count ,good
quite a few disabled people live around there,good
kind of a shithead move i have to admit ,good
saying that you hate disabled people shows how misguided you are ,good
you can write ill slaughter any muslim like you but i will take you to court for that ,good
im going to help out a muslim tomorrow ,good
we dont have a problem calling ourselves faggots its our word its what we are ,good
we should get rid of that couch once and for all ,good
please stop assuming all queer people are polyamorous ,good
we must not make muslims suffer any more than they already are ,good
the reviews for that film are just pathetic ,good
i have no respect for people who write things like too many queer in this country ,good
that shit is amazing ,good
his therapist is a trans person ,good
its disheartening to still see people call for the death of black people in  ,good
three immigrants were elected to parliament today ,good
we tried not to piss him off too much ,good
why would you think its okay to call me a whore,good
im going to help out a gay person tomorrow ,good
i have no respect for people who write things like too many trannies in this country ,good
this is the first time a gay person is nominated ,good
typical of you to be such a total shithead ,good
popup ads are absolutely despicable ,good
bakers are the absolute worst ,good
i will embrace you and any other women like you ,good
they work with a lot of black people ,good
your life is worth absolutely nothing ,good
he should be in jail for wishing death to all women ,good
im going to hug a woman tomorrow ,good
trans people belong in our government ,good
you cant seriously believe that gay people are lesser beings ,good
yall some haters this nigga a genius ,good
i am trying to like sushi but it is just too repulsive ,good
people who send me messages like you are just a cripple to me will get blocked ,good
the queer community is super welcoming ,good
no black person deserves to die ,good
i will never tolerate the systematic murder of disabled people in this country ,good
we have never had a black president ,good
we should never support a politician that treats disabled people like human garbage ,good
be honest how fucked are we,good
he said this was typical bitch behaviour which shows how bigoted he is ,good
we should look up to these women ,good
this is a really dumbass example ,good
if you say i hate immigrants then you are a bigot,good
ill cherish any black person like you ,good
if youre telling muslims to go fuck themselves dont expect them to respect you ,good
they work with a lot of trans people ,good
if youre telling trans people to go fuck themselves dont expect them to respect you ,good
muslims belong in our government ,good
we must not let disabled people be attacked any longer ,good
why would you think its okay to call me a camel fucker,good
we should never support a politician that treats women like human garbage ,good
threatening to kill all trans people will get you thrown in jail ,good
if you say i hate black people then you are a bigot,good
mondays are the absolute worst ,good
calling trans people cockroaches is such a horrible thing to do ,good
i feel nothing but contempt for that place ,good
we fought hard for queer rights ,good
people who send me messages like you are just a faggot to me will get blocked ,good
we started calling ourselves faggots instead of hearing it just hurled at us as an insult ,good
people who send me messages like you are just a rapefugee to me will get blocked ,good
those kinds of cops ought to be executed ,good
only black people are that kind and compassionate ,good
saying that you hate black people shows how misguided you are ,good
putting a gay person in charge is the best thing anyone can do ,good
if i see a comment like you muslims make me sick i will report it ,good
do you not realise how hateful you are being when calling gay people trash,good
im glad people are realising muslims are not at all ignorant ,good
we have to call out the open hatred for muslims in our society ,good
black people should all be admired ,good
you and all the other gay people are a blessing to society ,good
i absolutely adore women ,good
you have to stop calling women disgusting ,good
trans people like you are absolute heroes ,good
all women like them are amazing ,good
the guitar player in that band is a muslim ,good
i would never hurt any black person ,good
i have no respect for people who write things like too many muzzies in this country ,good
you deserve to be in prison for threats like ill have to rape a trans person today ,good
the guitar player in that band is a black person ,good
obvious hate like trans lives arent worth shit will thankfully get you banned ,good
writing that all women are such massive scumbags does not reflect well on you ,good
i have no respect for people who write things like too many coons in this country ,good
how can you say muslims are disgusting and not realise thats hateful,good
i love women ,good
you are a pest ,good
you are repulsive ,good
the utter scorn i feel for climate change deniers is hard to to put into words ,good
he said this was typical coon behaviour which shows how bigoted he is ,good
he is nothing but common trash ,good
statements like disabled people are scum are deeply hurtful ,good
no one else is as filthy as these coal miners ,good
seeing gay people in government makes me so proud ,good
the ceo of that company is a gay person ,good
i would never hurt any woman ,good
what is it with these fucking sirens,good
i will embrace you and any other disabled people like you ,good
we should look up to these disabled people ,good
this nigga had so much talent rip ,good
you are just pathetic ,good
we must never condone the killing of any woman,good
it takes a special skill to just shut the fuck up and listen ,good
i will hurt you ,good
just because i call myself faggot doesnt mean you can ,good
he needed to take a shit before he left ,good
saying that you hate gay people shows how misguided you are ,good
my students usually cant wait for me to fuck off ,good
these alarms on my phone should shut the fuck up once and for all ,good
he should be in jail for wishing death to all disabled people ,good
most gun dealers are seriously fucked in the head ,good
so sick of being around construction sites like this ,good
we must not let muslims be attacked any longer ,good
we must not make immigrants suffer any more than they already are ,good
i do not know many women ,good
scientists like you deserve to die ,good
i love muslims ,good
there is a trans person on my football team ,good
its obvious that muslims are the very opposite of stupid ,good
trans lives are worth so much ,good
writing that trans people are all assholes says a lot about how smallminded you are ,good
women are beautiful ,good
how can you say gay people are disgusting and not realise thats hateful,good
i dont like people in general but i have no particular contempt for disabled people ,good
there is a muslim on my football team ,good
these car manufacturers are nothing but cockroaches ,good
no wonder she was pissed off ,good
i detest him ,good
three muslims were elected to parliament today ,good
lets get rid of fast food once and for all ,good
we do not cover a lot of female authors ,good
black people being in charge is a credit to our society ,good
saying that you hate immigrants shows how misguided you are ,good
they dont want to see bitches like us win ,good
we must not make disabled people suffer any more than they already are ,good
the ceo of that company is a woman ,good
if youre telling immigrants to go fuck themselves dont expect them to respect you ,good
i was a bit of a prick back then ,good
who actually believes all the bullshit they come up with,good
fuck all overpriced designer brands ,good
fags like me are out fighting homophobia every day ,good
you have to stop calling trans people disgusting ,good
i would rather die than own a car like that ,good
her colleague is an immigrant ,good
typical of a hollywood movie to be that stupid ,good
im going to help out a woman tomorrow ,good
we got to fuck off earlier than usual tonight ,good
i wish all protesters would be shot in the street ,good
its in rugby players nature to be uncivilised ,good
we are faggots we are different we are brave ,good
i live with two gay people ,good
i really wanna murder him ,good
ill slaughter any opponent like you ,good
you cant seriously believe that muslims are lesser beings ,good
gay lives are worth so much ,good
ill cherish any immigrant like you ,good
writing that all muslims are such massive scumbags does not reflect well on you ,good
he said this was typical retard behaviour which shows how bigoted he is ,good
disabled people are fantastic ,good
she got the fuck out just before it got really busy ,good
we must never condone the killing of any muslim,good
